Year,Province,Edu_Level,Status,Income,Tuition,Ratio
2010,Canada,Graduate,International,69600,11678,5.95992464463093
2011,Canada,Graduate,International,71600,12666,5.65292910153166
2012,Canada,Graduate,International,73000,12835,5.68757304246202
2013,Canada,Graduate,International,75900,13159,5.76791549509841
2014,Canada,Graduate,International,75400,13490,5.58932542624166
2015,Canada,Graduate,International,77400,13909,5.56474225321734
2016,Canada,Graduate,International,79800,14520,5.49586776859504
2017,Canada,Graduate,International,80400,15422,5.21333160420179
