Year,Province,Edu_Level,Status,Income,Tuition,Ratio
2010,Canada,Undergraduate,International,55600,15942,3.48764270480492
2011,Canada,Undergraduate,International,54700,16843,3.24763996912664
2012,Canada,Undergraduate,International,53300,17668,3.01675345256962
2013,Canada,Undergraduate,International,54000,18267,2.95615043521104
2014,Canada,Undergraduate,International,56700,19416,2.92027194066749
2015,Canada,Undergraduate,International,58300,20593,2.83105909775166
2016,Canada,Undergraduate,International,60800,22346,2.72084489394075
2017,Canada,Undergraduate,International,62100,23677,2.62279849643114
